"title","year","age","im_db","rotten_tomatoes","runtime","streaming","main_language"
"The Florida Project",2017,"18+",7.6,9.6,111,"Netflix","English"
"Lila & Eve",2015,"18+",5.8,4,94,"Multiple","English"
"Backstabbing for Beginners",2018,"18+",6.2,3.8,108,"Amazon","English"
"I, Tonya",2017,"18+",7.5,8.9,119,"Hulu","English"
"Mud",2013,"13+",7.4,9.7,130,"Netflix","English"
"Big Time Adolescence",2020,"18+",7,8.4,91,"Hulu","English"
"The Town That Dreaded Sundown",1976,"18+",6.1,4.2,90,"Amazon","English"
"Small Town Murder Songs",2010,"18+",5.9,7.9,75,"Amazon","English"
"The Immaculate Conception of Little Dizzle",2010,"18+",6.2,8.9,104,"Amazon","English"
"One Magic Christmas",1985,"all",6.5,4.7,89,"Disney+","English"
"BloodRayne",2005,"18+",2.9,0.4,95,"Amazon","English"
"Bank Chor",2017,"7+",5.9,2,120,"Amazon","Foreign"
"Assassination Tango",2002,"18+",5.8,4.7,114,"Multiple","English"
"Falling Inn Love",2019,"7+",5.6,6.1,98,"Netflix","English"
"Camp Nowhere",1994,"7+",6.1,1.8,96,"Disney+","English"
"The Rescuers",1977,"all",6.9,8,78,"Disney+","English"
"Low Down",2014,"18+",6.1,5,114,"Amazon","English"
"Poster Boys",2017,"13+",5.5,3.3,128,"Netflix","Foreign"
"Never Forever",2007,"18+",6.5,8,104,"Amazon","Foreign"
"These Girls",2005,"18+",5.5,7.3,92,"Amazon","English"
"The Birth of a Nation",1915,"7+",6.4,9.3,195,"Amazon","Foreign"
"Cheetah",1989,"all",6,5,83,"Disney+","English"
"Samsara",2011,"13+",8.5,7.6,102,"Amazon","Foreign"
"Romeo & Juliet",2013,"13+",5.8,2.4,118,"Hulu","English"
"Escape and Evasion",2019,"16+",4.8,8,92,"Amazon","English"
"Inequality for All",2013,"7+",8,9,89,"Netflix","English"
"1492: Conquest of Paradise",1992,"13+",6.5,3.2,154,"Amazon","Foreign"
"Sukiyaki Western Django",2007,"18+",6.2,5.6,121,"Amazon","English"
"Una",2017,"18+",6.2,7.6,94,"Netflix","English"
"Rogue One: A Star Wars Story",2016,"13+",7.8,8.4,133,"Disney+","English"
"Terror Train",1980,"18+",5.9,3.6,97,"Amazon","English"
"Miss Hokusai",2015,"13+",6.7,9.3,93,"Netflix","Foreign"
"3 Men and a Little Lady",1990,"7+",5.4,3.8,104,"Disney+","English"
"Marriage Story",2019,"18+",8,9.5,137,"Netflix","English"
"Bachna Ae Haseeno",2008,"7+",6.2,6.3,152,"Amazon","Foreign"
"I Kill Giants",2018,"13+",6.2,7.7,106,"Hulu","English"
"Mega Piranha",2010,"18+",2.4,0.8,92,"Amazon","English"
"Jerry Maguire",1996,"18+",7.3,8.3,139,"Netflix","English"
"Once Upon a Time in the West",1968,"13+",8.5,9.5,165,"Multiple","Foreign"
"The Fundamentals of Caring",2016,"18+",7.3,7.7,97,"Multiple","English"
"Iron Man 2",2010,"13+",7,7.3,124,"Multiple","English"
"Toy Story 4",2019,"all",7.8,9.7,100,"Disney+","English"
"From Paris with Love",2010,"18+",6.5,3.8,92,"Multiple","English"
"Grizzly Man",2005,"18+",7.8,9.2,103,"Amazon","English"
"Mara",2018,"18+",5.1,2.9,98,"Netflix","English"
"Breakdown",1997,"18+",6.9,8,93,"Amazon","English"
"Julie & Julia",2009,"13+",7,7.7,123,"Netflix","English"
"Mandingo",1975,"18+",6.3,2.9,127,"Amazon","English"
"The Parent Trap",1998,"7+",6.5,8.6,128,"Disney+","English"
"A Spell to Ward Off the Darkness",2013,"7+",6.2,9.5,98,"Amazon","English"
"The Road to El Dorado",2000,"7+",6.9,4.8,89,"Hulu","English"
"Cesar Chavez",2014,"13+",6.4,3.8,102,"Amazon","English"
"Undefeated",2011,"13+",7.7,9.6,113,"Netflix","English"
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,"13+",6.6,4.1,109,"Netflix","English"
"The Special Relationship",2010,"16+",6.7,8.6,93,"Amazon","English"
"Morvern Callar",2002,"18+",6.8,8.4,97,"Amazon","English"
"Fantasia 2000",1999,"all",7.2,8.1,75,"Disney+","English"
"In a Relationship",2018,"18+",5.5,6,92,"Hulu","English"
"Arbitrage",2012,"18+",6.6,8.8,107,"Multiple","English"
"UglyDolls",2019,"7+",4.9,2.7,87,"Hulu","English"
"Inglourious Basterds",2009,"18+",8.3,8.9,153,"Netflix","English"
"The Rainmaker",1997,"13+",7.2,8.3,135,"Multiple","English"
"A Guy Thing",2003,"13+",5.6,2.4,101,"Amazon","English"
"Dumb: The Story of Big Brother Magazine",2017,"18+",7.2,10,79,"Hulu","English"
"The World Before Your Feet",2018,"13+",7.6,10,95,"Amazon","English"
"Confessions of a Teenage Drama Queen",2004,"7+",4.6,1.4,89,"Disney+","English"
"Zindagi Na Milegi Dobara",2011,"7+",8.1,9.1,155,"Netflix","Foreign"
"Django Unchained",2012,"18+",8.4,8.7,165,"Netflix","English"
"Bethany Hamilton: Unstoppable",2019,"7+",7.3,7.1,100,"Netflix","English"
"April and the Extraordinary World",2015,"7+",7.3,9.6,105,"Netflix","Foreign"
"Cut Snake",2015,"18+",5.8,6.9,94,"Amazon","English"
"Open Grave",2013,"18+",6.2,1.8,102,"Amazon","English"
"Megan Leavey",2017,"13+",7.1,8.7,116,"Hulu","English"
"The Glass Coffin",2016,"18+",5.3,8,75,"Amazon","Foreign"
"Life According to Sam",2013,"all",8.2,10,94,"Amazon","English"
"White Lightning",1973,"7+",6.4,8.6,101,"Amazon","English"
"The X Files: I Want to Believe",2008,"13+",5.9,3.1,104,"Hulu","English"
"The Ghazi Attack",2017,"7+",7.6,6,116,"Amazon","Foreign"
"All's Faire in Love",2009,"13+",5,0.7,104,"Amazon","English"
"Coffy",1973,"18+",6.8,7.9,90,"Amazon","English"
"Monsters and Men",2018,"18+",5.7,8.6,96,"Hulu","English"
"Welcome to Happiness",2015,"13+",6.1,3.1,108,"Amazon","English"
"A Bad Moms Christmas",2017,"18+",5.6,3.1,104,"Netflix","English"
"Sextuplets",2019,"16+",4.4,1.4,97,"Netflix","English"
"Europa Report",2013,"13+",6.4,8.1,90,"Hulu","English"
"American Assassin",2017,"18+",6.2,3.5,112,"Netflix","English"
"The Cat in the Hat",2003,"7+",3.9,0.9,82,"Multiple","English"
"47 Meters Down: Uncaged",2019,"13+",5,4.2,90,"Amazon","English"
"The House of the Devil",2009,"18+",6.4,8.7,95,"Amazon","English"
"3 Nights in the Desert",2014,"18+",5.1,4,90,"Amazon","English"
"The Finest Hours",2016,"13+",6.8,6.4,117,"Disney+","English"
"Concussion",2013,"18+",5.6,7.5,123,"Netflix","English"
"Chicken Run",2000,"all",7,9.7,84,"Hulu","English"
"The Ant Bully",2006,"7+",5.8,6.2,88,"Hulu","English"
"The Last Airbender",2010,"7+",4.1,0.5,103,"Netflix","English"
"Penelope",2006,"7+",6.7,5.4,104,"Amazon","English"
"I Spit on Your Grave",2010,"18+",6.3,3.3,108,"Amazon","English"
"Fun in Acapulco",1963,"7+",5.9,5.7,97,"Hulu","English"
"Life-Size 2",2018,"16+",4.8,4,81,"Disney+","English"
"Species",1995,"18+",5.8,4.3,108,"Amazon","English"
"Phenomena",1985,"18+",6.8,7.8,116,"Amazon","Foreign"
"Come Sunday",2018,"16+",5.9,6.3,106,"Netflix","English"
"Backtrace",2018,"18+",3.7,1.1,92,"Hulu","English"
"Kazaam",1996,"7+",3,0.6,93,"Disney+","English"
"The Overnight",2015,"18+",6.1,8.3,79,"Multiple","English"
"Wadjda",2012,"7+",7.5,9.9,98,"Netflix","Foreign"
"Goon",2012,"18+",6.8,8.1,92,"Netflix","English"
"The Perks of Being a Wallflower",2012,"13+",8,8.6,103,"Netflix","English"
"Honeyglue",2015,"18+",6.3,3.6,107,"Amazon","English"
"Aladdin",1992,"all",8,9.5,128,"Disney+","English"
"Hideous Kinky",1998,"18+",6,6.5,98,"Amazon","English"
"Scorched Earth",2018,"18+",4.5,2,96,"Amazon","English"
"Song One",2015,"13+",5.8,3.3,86,"Amazon","English"
"Friday the 13th Part III",1982,"18+",5.7,1.2,95,"Multiple","English"
"Fast Color",2019,"13+",6,8.2,100,"Amazon","English"
"Adore",2013,"18+",6.2,3.4,112,"Amazon","English"
"The Plague Dogs",1982,"13+",7.8,5.7,103,"Amazon","English"
"Cadillac Records",2008,"18+",7,6.7,109,"Netflix","English"
"The Short Game",2013,"7+",7.4,8.4,99,"Netflix","English"
"Danny Collins",2015,"18+",7,7.7,106,"Amazon","English"
"America's Heart and Soul",2004,"7+",5.1,5,84,"Disney+","English"
"Fugitive Pieces",2007,"18+",7,6.8,104,"Amazon","English"
"Nobel Son",2007,"18+",6.3,2.5,110,"Amazon","English"
"White Fang",2018,"7+",6.9,8.8,107,"Multiple","English"
"Some Kind of Hero",1982,"18+",5.8,4,97,"Multiple","English"
"The Golem",2018,"18+",5.6,8.5,95,"Netflix","English"
"Marrowbone",2017,"18+",6.6,4.7,110,"Hulu","English"
"Veronica",2017,"18+",6.2,8.8,94,"Netflix","English"
"The Bedroom Window",1987,"18+",6.4,7.6,112,"Amazon","English"
"The Cabinet of Dr. Caligari",1920,"7+",8.1,10,76,"Amazon","Foreign"
"The Château",2001,"18+",5.2,5,91,"Hulu","English"
"The Levelling",2017,"18+",6.4,9.4,83,"Amazon","English"
"I Can Only Imagine",2018,"7+",7.3,6.1,110,"Multiple","English"
"Oceans",2009,"all",7.8,8.1,104,"Netflix","Foreign"
"Beneath",2013,"18+",3.7,3.3,90,"Amazon","English"
"The Way of the Gun",2000,"18+",6.7,4.5,119,"Amazon","English"
"Alive Inside",2014,"7+",8.2,7.4,78,"Amazon","English"
"A Single Man",2009,"18+",7.6,8.5,99,"Netflix","English"
"Nomads",1986,"18+",5.4,2.2,91,"Amazon","English"
"Brittany Runs a Marathon",2019,"18+",6.8,8.9,104,"Amazon","English"
"The Vessel",2016,"13+",5.3,6.7,86,"Amazon","English"
"The Space Between Us",2017,"13+",6.4,1.6,120,"Netflix","English"
"Stitch! The Movie",2003,"all",6.2,2,60,"Disney+","Foreign"
"Golden Exits",2018,"18+",5.8,6.7,94,"Hulu","English"
"Chasers",1994,"18+",5.1,3.3,102,"Amazon","English"
"Days of Darkness",2007,"18+",3.9,2,104,"Amazon","Foreign"
"Tai Chi Zero",2012,"13+",6.1,6,98,"Amazon","Foreign"
"Frozen II",2019,"7+",6.9,7.7,103,"Disney+","English"
"Starred Up",2013,"18+",7.4,9.9,106,"Multiple","English"
"Mission Control: The Unsung Heroes of Apollo",2017,"7+",7.5,10,101,"Netflix","English"
"The Dust Factory",2004,"7+",6,0.9,99,"Amazon","English"
"Black Sunday",1977,"18+",6.8,6.9,87,"Amazon","Foreign"
"W.E.",2011,"18+",6.3,1.2,119,"Netflix","English"
"Scary Movie 2",2001,"18+",5.3,1.5,83,"Netflix","English"
"Oddball",2015,"7+",6.4,8.7,95,"Amazon","English"
"Magnolia",1999,"18+",8,8.3,188,"Netflix","English"
"Miss Sloane",2016,"18+",7.5,7.6,132,"Amazon","English"
"In This Corner of the World",2016,"13+",7.8,9.7,129,"Netflix","Foreign"
"Life with Mikey",1993,"7+",5.6,2.5,91,"Disney+","English"
"Dinosaur",2000,"7+",6.5,6.4,82,"Disney+","English"
"Final Destination",2000,"18+",6.7,3.5,98,"Netflix","English"
"The Cheap Detective",1978,"7+",6.5,4.7,92,"Amazon","English"
"Kal Ho Naa Ho",2003,"all",8,7,186,"Netflix","Foreign"
"Christmas in the Clouds",2001,"7+",6.4,6.9,96,"Amazon","English"
"The Competition",1980,"7+",6.6,7.1,123,"Amazon","English"
"Last Flag Flying",2017,"18+",6.9,7.7,125,"Amazon","English"
"Bullet Head",2017,"18+",5.4,5.9,93,"Netflix","English"
"Noble",2014,"13+",6.8,8.2,100,"Amazon","English"
"Hereditary",2018,"18+",7.3,8.9,127,"Amazon","English"
"Conan the Barbarian",2011,"18+",5.2,2.5,129,"Multiple","English"
"Ismael's Ghosts",2017,"18+",5.6,5.1,114,"Hulu","Foreign"
"Citizen X",1995,"18+",7.5,8.8,105,"Amazon","English"
"Tortilla Heaven",2008,"13+",5.3,2.5,98,"Amazon","English"
"I've Loved You So Long",2008,"13+",7.6,8.8,117,"Amazon","Foreign"
"I Don't Know How She Does It",2011,"13+",4.9,1.7,89,"Netflix","English"
"Pi",1998,"18+",7.4,8.8,84,"Amazon","English"
"The Bleeding Edge",2018,"16+",7.7,10,99,"Multiple","English"
"The Soloist",2009,"13+",6.7,5.7,117,"Amazon","English"
"Aniara",2019,"18+",6.2,7,106,"Hulu","Foreign"
"Jeremiah Tower: The Last Magnificent",2016,"18+",6.4,8.4,103,"Netflix","English"
"Monster Island",2017,"7+",4.8,1.8,89,"Multiple","English"
"Capote",2005,"18+",7.3,9,114,"Amazon","English"
"Molly Moon and the Incredible Book of Hypnotism",2015,"7+",5.3,2.9,98,"Amazon","English"
"The Polar Express",2004,"all",6.6,5.6,100,"Netflix","English"
"The Ultimate Life",2013,"7+",5.8,1.8,105,"Amazon","English"
"Ninja Assassin",2009,"18+",6.3,2.5,99,"Netflix","English"
"Blackball",2003,"18+",5.6,4.1,96,"Amazon","English"
"Awful Nice",2013,"18+",4.9,2.2,92,"Amazon","English"
"The Creeping Flesh",1973,"7+",6.3,8,92,"Amazon","English"
"The Alchemist Cookbook",2016,"18+",5.1,8,82,"Multiple","English"
"Just Write",1997,"13+",6.3,5,102,"Amazon","English"
"Under the Gun",2016,"18+",5.5,10,86,"Amazon","English"
"Essential Killing",2010,"18+",6.1,7.7,83,"Amazon","English"
"Ant-Man",2015,"13+",7.3,8.3,117,"Disney+","English"
"Terms of Endearment",1983,"7+",7.4,7.8,132,"Amazon","English"
"Kettle of Fish",2006,"18+",5.1,1.8,97,"Amazon","English"
"Free Fire",2017,"18+",6.4,6.8,91,"Netflix","English"
"The Death of Stalin",2017,"18+",7.2,9.6,107,"Netflix","English"
"The Runaways",2010,"18+",6.5,7,106,"Netflix","English"
"Free Willy 3: The Rescue",1997,"7+",4.7,4.4,86,"Hulu","English"
"Serenity",2019,"18+",5.3,2,106,"Amazon","English"
"India: Kingdom of the Tiger",2002,"all",6.2,8,42,"Amazon","Foreign"
"A Gray State",2017,"18+",6.2,10,93,"Netflix","English"
"Cop Car",2015,"18+",6.3,8,88,"Netflix","English"
"Ace Ventura: Pet Detective",1994,"13+",6.9,4.8,86,"Netflix","English"
"Chi-Raq",2015,"18+",5.7,8.2,127,"Amazon","English"
"We the Animals",2018,"18+",6.9,9.3,94,"Netflix","English"
"Chastity Bites",2013,"18+",4.6,10,93,"Amazon","English"
"Murder on the Orient Express",1974,"7+",7.3,8.9,114,"Amazon","English"
"The Darkness",2016,"13+",4.4,0.3,101,"Amazon","English"
"Midsommar",2019,"18+",7.1,8.3,148,"Amazon","English"
"The One I Love",2014,"18+",7.1,8.2,91,"Netflix","English"
"Togo",2019,"7+",8.1,9.1,113,"Disney+","English"
"Tucker and Dale vs. Evil",2010,"18+",7.5,8.5,89,"Netflix","English"
"Air Force One",1997,"18+",6.5,7.6,124,"Amazon","English"
"The Baytown Outlaws",2012,"18+",6.4,2.2,98,"Amazon","English"
"Same Kind of Different as Me",2017,"13+",6.6,3.3,119,"Netflix","English"
"Cutter's Way",1981,"18+",6.9,9.1,109,"Amazon","English"
"Melvin Goes to Dinner",2003,"18+",6.8,10,83,"Netflix","English"
"Final Destination 3",2006,"18+",5.8,4.3,93,"Netflix","English"
"The Student",2016,"13+",6.9,8.7,90,"Multiple","English"
"Young Sherlock Holmes",1985,"13+",6.8,6.4,109,"Amazon","English"
"Heartburn",1986,"18+",6.1,4.5,108,"Amazon","English"
"Sparkle",2007,"7+",6,7.8,116,"Amazon","English"
"Earthquake Bird",2019,"18+",5.9,5.7,107,"Netflix","English"
"The High Cost of Living",2011,"13+",6.8,5.3,92,"Amazon","English"
"The Second Mother",2015,"18+",7.8,9.7,112,"Multiple","Foreign"
"Jem and the Holograms",2015,"7+",4.1,2.2,118,"Netflix","English"
"Game Over, Man!",2018,"18+",5.4,0.9,101,"Netflix","English"
"Above the Rim",1994,"18+",6.6,5.3,96,"Netflix","English"
"Downsizing",2017,"18+",5.7,4.7,135,"Multiple","English"
"6 Below: Miracle on the Mountain",2017,"13+",5.7,2.2,98,"Hulu","English"
"The English Teacher",2013,"18+",5.8,4.1,93,"Amazon","English"
"The Third Murder",2017,"18+",6.7,8.6,124,"Amazon","Foreign"
"Eaten Alive",1976,"18+",5.5,2.9,92,"Amazon","Foreign"
"A Wrinkle in Time",2018,"7+",4.2,4.2,109,"Disney+","English"
"Everybody's Everything",2019,"18+",7.4,10,116,"Netflix","English"
"Moonlight",2016,"18+",7.4,9.8,111,"Netflix","English"
"Before I Go to Sleep",2014,"18+",6.3,3.7,92,"Hulu","English"
"Recess: School's Out",2001,"all",6.6,6,82,"Disney+","English"
"The Three Caballeros",1944,"all",6.5,8.2,104,"Disney+","English"
"Ghost Rider",2007,"13+",5.2,2.6,110,"Netflix","English"
"The Angel",2018,"18+",6.6,7.5,114,"Multiple","English"
"50/50",2011,"18+",7.6,9.3,100,"Hulu","English"
"The Santa Clause",1994,"7+",6.5,7.1,97,"Disney+","English"
"Truman",2015,"16+",7.3,9.9,108,"Amazon","Foreign"
"13 Assassins",2010,"18+",7.6,9.5,141,"Hulu","Foreign"
"Food Evolution",2017,"7+",7,10,92,"Hulu","English"
"Double Impact",1991,"18+",5.6,3.5,110,"Amazon","English"
"Who Is Cletis Tout?",2001,"18+",6.3,2.3,92,"Amazon","English"
"Goya's Ghosts",2006,"18+",6.9,3,113,"Amazon","English"
"Blue Chips",1994,"13+",6.2,3.7,108,"Amazon","English"
"Abattoir",2016,"18+",4.4,3.8,98,"Amazon","English"
"Me Without You",2001,"18+",6.9,6.6,107,"Amazon","English"
"Homecoming: A Film by Beyoncé",2019,"13+",7.4,9.8,137,"Netflix","English"
"The Loveless",1981,"18+",6.1,8,82,"Amazon","English"
"The Goods: Live Hard, Sell Hard",2009,"18+",5.8,2.7,89,"Multiple","English"
"Girl Asleep",2015,"18+",6.2,8.1,77,"Amazon","English"
"The Little Traitor",2009,"7+",6.9,4.1,88,"Amazon","Foreign"
"Guzaarish",2010,"7+",7.4,6.7,126,"Netflix","Foreign"
"Love Ranch",2010,"18+",5.6,1.3,117,"Amazon","English"
"The Decline of Western Civilization Part II: The Metal Years",1988,"18+",7.2,10,93,"Amazon","English"
"Ice Princess",2005,"all",6,5.2,98,"Disney+","English"
"About Time",2013,"18+",7.8,6.8,123,"Netflix","English"
"James White",2015,"18+",7.1,9.2,85,"Amazon","English"
"The Two Popes",2019,"13+",7.6,8.9,125,"Netflix","English"
"Muppets Most Wanted",2014,"7+",6.4,8,107,"Disney+","English"
"The Black Godfather",2019,"18+",6.5,10,118,"Multiple","English"
"High Life",2018,"18+",5.8,8.2,113,"Amazon","English"
"Treasure Planet",2002,"7+",7.2,6.9,95,"Disney+","English"
"Dangerously Close",1986,"18+",5.5,1,95,"Amazon","English"
"Journey's End",2017,"18+",6.6,9.2,107,"Amazon","English"
"Sun Choke",2015,"18+",5.6,8.8,83,"Amazon","English"
"Dhobi Ghat",2010,"16+",7,6.8,100,"Netflix","Foreign"
"Tickled",2016,"18+",7.6,9.4,92,"Hulu","English"
"Monsters, Inc.",2001,"all",8,9.6,92,"Disney+","English"
"Grand Theft Parsons",2004,"13+",6,4.6,88,"Amazon","English"
"Virginia",2010,"18+",5.4,1.1,88,"Amazon","English"
"Rosencrantz & Guildenstern Are Dead",1991,"7+",7.5,6.2,117,"Amazon","English"
"Bennett's War",2019,"13+",5.5,5,94,"Netflix","English"
"Blame",2011,"18+",5.6,5.8,100,"Amazon","English"
"The Time Machine",2002,"13+",6,2.9,96,"Netflix","English"
"The Sapphires",2012,"13+",7,9.1,103,"Netflix","English"
"The Assignment",2016,"18+",4.6,3.4,95,"Netflix","English"
"Slice",2018,"18+",4.5,5.7,83,"Amazon","English"
"Alice Sweet Alice",1976,"18+",6.5,8.2,107,"Amazon","English"
"Being Elmo: A Puppeteer's Journey",2011,"7+",7.6,9.5,80,"Netflix","English"
"Rowdy Rathore",2012,"13+",5.7,5.5,140,"Netflix","Foreign"
"Tarzan II",2005,"all",5.6,3.3,72,"Netflix","English"
"Descendants 2",2017,"all",6.5,6.7,111,"Disney+","English"
"A Night In the Woods",2011,"18+",3.7,4.3,82,"Amazon","English"
"Romero",1989,"13+",7.1,7.8,102,"Amazon","English"
"A Kind of Murder",2016,"18+",5.3,3.8,95,"Hulu","English"
"The Black Hole",1979,"7+",6,4,98,"Disney+","English"
"Battle: Los Angeles",2011,"13+",5.7,3.6,116,"Netflix","English"
"Up in the Air",2009,"18+",7.4,9.1,109,"Multiple","English"
"Luka Chuppi",2019,"7+",6.3,3.3,126,"Netflix","Foreign"
"Rough Stuff",2016,"18+",4.6,8,84,"Amazon","English"
"The Sea of Trees",2016,"13+",6.1,1.5,110,"Netflix","English"
"Mickey, Donald, Goofy: The Three Musketeers",2004,"all",6.4,3.6,68,"Disney+","English"
"Antz",1998,"7+",6.5,9.3,83,"Hulu","English"
"Urban Cowboy",1980,"7+",6.3,6.7,132,"Netflix","English"
"Journey to the Center of the Earth",1959,"all",7,8.6,93,"Disney+","English"
"Alex Strangelove",2018,"18+",6.3,8.6,99,"Netflix","English"
"Camp Rock 2: The Final Jam",2010,"7+",5.2,6.3,97,"Disney+","English"
"When a Stranger Calls Back",1993,"18+",6.2,5.7,94,"Amazon","English"
"Kon-Tiki",2012,"13+",7.2,8.1,118,"Multiple","Foreign"
"Mortal Kombat",1995,"13+",5.8,4.7,101,"Netflix","English"
"Ginger & Rosa",2012,"13+",6.3,7.8,90,"Netflix","English"
"Happily N'Ever After",2006,"7+",4.5,0.4,75,"Amazon","English"
"Neruda",2016,"18+",6.9,9.3,107,"Netflix","Foreign"
"Two Ninas",2000,"18+",6.1,6.7,88,"Amazon","English"
"Dr. T & the Women",2000,"18+",4.6,5.6,122,"Multiple","English"
"Dean",2016,"13+",6.2,6.2,94,"Netflix","English"
"Dirty",2005,"18+",5.6,2.1,97,"Amazon","English"
"Shanghai Triad",1995,"18+",7.1,8.7,108,"Amazon","Foreign"
"The Rolling Stones: Olé Olé Olé! – A Trip Across Latin America",2016,"16+",7.5,10,105,"Netflix","English"
"Wildling",2018,"18+",5.5,7,92,"Netflix","English"
"The Score",2001,"18+",6.8,7.3,124,"Multiple","English"
"Trudell",2005,"7+",7.2,3.3,80,"Amazon","English"
"The Platform",2019,"18+",7,8.2,94,"Netflix","Foreign"
"The Wailing",2016,"18+",7.5,9.9,156,"Amazon","Foreign"
"Dreamchild",1985,"7+",6.8,10,94,"Amazon","English"
"La Cucaracha",1998,"18+",6,6.7,97,"Amazon","Foreign"
"The Hunchback of Notre Dame II",2002,"all",4.7,3,68,"Disney+","English"
"Breath",2017,"18+",6.7,8,115,"Multiple","English"
"Nobody Speak: Trials of the Free Press",2017,"16+",6.5,9.1,95,"Netflix","English"
"Cromwell",1970,"all",6.9,3.3,139,"Amazon","English"
"For Greater Glory: The True Story of Cristiada",2012,"18+",6.6,2.1,145,"Netflix","Foreign"
"The Only Living Boy in New York",2017,"18+",6.3,3.4,89,"Amazon","English"
"And Breathe Normally",2018,"16+",6.8,9.2,95,"Netflix","Foreign"
"The Cheetah Girls",2003,"all",4.8,7.1,100,"Disney+","English"
"Cruise",2018,"18+",5.3,3.8,90,"Hulu","English"
"Letters to God",2010,"7+",6.3,2.7,110,"Amazon","English"
